model,split,n_samples,train_seconds,inference_seconds,accuracy,macro_precision,macro_recall,macro_f1
RandomForest,internal_test,4000,12.04549400000542,0.11638819999643601,0.92275,0.9222643056147929,0.9216370522474561,0.9216965016758734
RandomForest,external_test,3067,12.04549400000542,0.10761679999995977,0.7564395174437561,0.8158443574676589,0.7553896250493489,0.7112527405231855
SVM(HOG),internal_test,4000,1064.6179649999976,0.016512100002728403,0.9615,0.9615146587882115,0.961493045115313,0.9614308077891522
SVM(HOG),external_test,3067,1064.6179649999976,0.014027099998202175,0.8164329964134334,0.8259600759167393,0.8160108944099145,0.7919009929316025
CNN,internal_test,4000,29.358754399989266,0.30527699999220204,0.9865,0.9864741365351015,0.9862942397874704,0.9863510412164912
CNN,external_test,3067,29.358754399989266,0.2510907999967458,0.9276165634170199,0.9369992827375594,0.9271884635577186,0.9174705785110515
