method,n_samples,n_features_after_pca,explained_variance,train_seconds,silhouette,ari,nmi,purity,inertia,aic,bic
KMeans,20000,304,0.9500454974881329,7.332784199999878,0.013848495872214671,0.3219848774304803,0.4352442221166899,0.52975,11029144.018969811,,
GaussianMixture(full),20000,304,0.9500454974881329,42.94143810000969,-0.04433906447007075,0.253462745612711,0.3840206032529361,0.4695,,-10472646.668619897,-6784492.105716466
